firstName,lastName,email,name,gender,year,fatherName,motherName,department,batch,contactNumber,fatherContactNumber,dob,section
Adarsh,Verma,AdarshVerma@yopmail.com,Adarsh Verma,male,1,Kabir Saxena,Tanvi Choudhary,CSE,2021-2025,5432109876,4321098765,12-03-04,1
Aditya,Verma,AdityaVerma@yopmail.com,Aditya Verma,other,1,Aadi Jain,Priya Patel,CSE,2020-2024,8765432109,2173878188,20-05-09,1
Adarsh,Kapoor,AdarshKapoor@yopmail.com,Adarsh Kapoor,other,1,Advait Patel,Anika Bhatia,CSE,2020-2024,6723712778,6543414567,07-11-08,1
Harsh,Sharma,HarshSharma@yopmail.com,Harsh Sharma,other,1,Dhruv Sharma,Saanvi Singhania,CSE,2021-2025,7612378617,6543414567,17-06-07,1
Parth,Mishra,ParthMishra@yopmail.com,Parth Mishra,male,1,Vedant Joshi,Aaradhya Nair,CSE,2020-2024,8765432109,7862137867,08-01-01,1
Adarsh,Kapoor,AdarshKapoor@yopmail.com,Adarsh Kapoor,other,1,Viraj Verma,Diya Mehra,CSE,2020-2024,7213782188,7652123456,01-07-00,1
Vikram,Tiwari,VikramTiwari@yopmail.com,Vikram Tiwari,male,1,Ishaan Reddy,Aisha Sharma,CSE,2021-2025,9867127621,2173878188,29-09-07,1
Rishabh,Bhatia,RishabhBhatia@yopmail.com,Rishabh Bhatia,other,1,Viraj Verma,Kiara Bansal,CSE,2021-2025,9876543210,7862137867,09-10-02,1
Adarsh,Rajput,AdarshRajput@yopmail.com,Adarsh Rajput,other,1,Dhruv Sharma,Sanika Kapoor,CSE,2021-2025,8765432109,6543414567,16-07-09,1
Aniket,Sharma,AniketSharma@yopmail.com,Aniket Sharma,other,1,Vedant Joshi,Avani Joshi,CSE,2021-2025,7654321098,7862137896,18-09-00,1
Rajat,Mehra,RajatMehra@yopmail.com,Rajat Mehra,male,1,Viraj Verma,Anika Bhatia,CSE,2021-2025,7213782188,7126371277,28-11-00,1
Varun,Malhotra,VarunMalhotra@yopmail.com,Varun Malhotra,male,1,Rishi Malhotra,Ishani Thakur,CSE,2021-2025,9867127621,7126371277,22-01-00,1
Neeraj,Kapoor,NeerajKapoor@yopmail.com,Neeraj Kapoor,male,1,Devendra Singh,Riyaan Desai,CSE,2021-2025,6723712778,2173878188,03-05-09,1
Shubham,Nair,ShubhamNair@yopmail.com,Shubham Nair,male,1,Vihaan Kapoor,Diya Mehra,CSE,2021-2025,9867127621,4321098765,11-04-06,1
Parth,Kapoor,ParthKapoor@yopmail.com,Parth Kapoor,other,1,Vedant Joshi,Ananya Singh,CSE,2020-2024,5432109876,2173878188,09-05-02,1
Karan,Patel,KaranPatel@yopmail.com,Karan Patel,male,1,Nakul Kapoor,Ananya Singh,CSE,2020-2024,9867127621,8761234567,23-01-06,1
Aditya,Singhania,AdityaSinghania@yopmail.com,Aditya Singhania,other,1,Dhruv Sharma,Priya Patel,CSE,2021-2025,5432109876,7862137896,26-09-07,1
Akash,Mishra,AkashMishra@yopmail.com,Akash Mishra,other,1,Aarav Khurana,Tanvi Choudhary,CSE,2021-2025,9867127621,2173878188,17-10-00,1
Varun,Khanna,VarunKhanna@yopmail.com,Varun Khanna,other,1,Vedant Joshi,Diya Mehra,CSE,2021-2025,7213782188,7862137896,18-07-08,1
Adarsh,Choudhary,AdarshChoudhary@yopmail.com,Adarsh Choudhary,other,1,Viraj Verma,Meera Reddy,CSE,2020-2024,9867127621,7652123456,29-04-01,1
Rohan,Kapoor,RohanKapoor@yopmail.com,Rohan Kapoor,other,1,Vihaan Kapoor,Kavya Shah,CSE,2020-2024,6723712778,7126371277,23-09-03,1
Shubham,Singh,ShubhamSingh@yopmail.com,Shubham Singh,male,1,Vedant Joshi,Tanvi Choudhary,CSE,2021-2025,9867127621,2173878188,25-07-05,1
Pranav,Choudhary,PranavChoudhary@yopmail.com,Pranav Choudhary,male,1,Kunal Sharma,Avani Joshi,CSE,2020-2024,9876543210,7862137896,25-04-08,1
Shubham,Rajput,ShubhamRajput@yopmail.com,Shubham Rajput,other,1,Aarav Khurana,Ishita Khanna,CSE,2021-2025,8765432109,6543414567,20-08-04,1
Siddharth,Singh,SiddharthSingh@yopmail.com,Siddharth Singh,male,1,Vedant Joshi,Riyaan Desai,CSE,2020-2024,6543210987,7126371277,25-03-03,1
Rishabh,Rajput,RishabhRajput@yopmail.com,Rishabh Rajput,male,1,Pratham Chauhan,Shreya Sharma,CSE,2021-2025,9867127621,6543414567,09-09-06,1
